"Structure No","ID_NEW","pKi","Smiles"
"140","CPDXA0140","8.288192770958808","NC(c(cc1)cc(CN(CC[C@@H]2NS(c([s]c3ccc4)cc3c4Cl)(=O)=O)C2=O)c1O)=N"
"141","CPDXA0141","8.285115787760697","CC(C)(C)OC(N[C@H](CNC(c([s]1)ccc1Cl)=O)C(Nc(cc1)ccc1N(CCOC1)C1=O)=O)=O"
"142","CPDXA0142","8.284709335155453","CC(C)N(CC1)CCC1NC(c([n](Cc1n[o]c(-c([s]2)ccc2Cl)c1)c1cccnc11)c1Cl)=O"
"143","CPDXA0143","8.283451261516005","CC(C)N(CC1)CCC1NC(c1nc(c(C(O)=O)c(cc2)F)c2[n]1Cc1n[o]c(-c([s]2)ccc2Cl)c1)=O"
"144","CPDXA0144","8.282723531484104","CC(C)N(CC1)CCC1NC(c1nc(c(O)ncc2)c2[n]1Cc1n[o]c(-c([s]2)ccc2Cl)c1)=O"
"145","CPDXA0145","8.279241194037198","CC(C)N(CC1)CCC1N(CC(O)=O)C(c1cc2cccc(C)c2[n]1Cc1n[o]c(-c([s]2)ccc2Cl)c1)=O"
"146","CPDXA0146","8.272935204888409","CC(C)N(CC1)CCC1NS(CCNC(c([s]1)ccc1Br)=O)(=O)=O"
"147","CPDXA0147","8.272705610321793","O=C(c1n[n](Cc2n[o]c(-c([s]3)ccc3Cl)c2)c2c1cccc2)Nc(cc1)ccc1N(C=C1)C=CC1=O"
"148","CPDXA0148","8.25767216369154","CC(C)N(CC1)CCC1N(Cc1ncc[s]1)S(CCNC(c([s]1)ccc1Cl)=O)(=O)=O"
"149","CPDXA0149","8.253023644236755","CC(C)N(CC1)CCC1NC(c1n[n](Cc2n[o]c(-c([s]3)ccc3Cl)c2)c(cc2)c1cc2C(NC#N)=O)=O"
"150","CPDXA0150","8.252211181597415","CC(C)N(CC1)CCC1NC(c1cc(c(C(O)=O)ccc2)c2[n]1Cc1n[o]c(-c([s]2)ccc2Cl)c1)=O"
"151","CPDXA0151","8.246985732296686","CC(C)N(CC1)CCC1NC(c1nc(c(C(O)=O)ccc2)c2[n]1Cc1cc(ccc(Cl)c2)c2[s]1)=O"
"152","CPDXA0152","8.241028140652821","CC(C)N(CC1)CCC1NC(c1cc(cc(cc2)-c3n[o]c(O)n3)c2[n]1Cc1n[o]c(-c([s]2)ccc2Cl)c1)=O"
